Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	0	0	0	0	1	1	0
2001	17	10	4	9	0	8	8
2002	12	16	16	16	13	20	31
2003	17	25	12	9	36	8	84
2004	40	66	24	44	119	34	18
2005	51	163	73	135	7	87	24
2006	131	438	82	255	116	217	71
2007	288	511	153	442	58	315	176
2008	864	1730	441	1114	180	677	679
2009	1457	1193	879	2689	243	958	959
2010	2844	3249	1860	6477	831	1058	1836
2011	3834	5912	3657	7724	850	3111	2713
2012	4198	6761	3811	9826	1755	4468	5750
2013	8467	8634	4347	12481	1061	4685	5639
2014	8016	13056	8991	15783	3051	10740	6531
2015	966	1396	739	1203	221	671	708
