Year,terrorism,terrorist,occupation,narcotic,violation,democracy,development
2000,0,0,2,0,1,3,4
2001,5,7,2,6,5,7,15
2002,30,6,16,15,16,43,14
2003,83,91,13,71,39,13,50
2004,18,10,10,16,7,38,141
2005,32,49,64,275,15,292,573
2006,79,82,104,154,47,268,1344
2007,147,104,161,239,86,557,3160
2008,339,347,798,606,777,1220,11143
2009,437,233,998,1101,409,1679,9207
2010,879,407,1181,1845,601,2559,16877
2011,1204,603,2056,5344,1178,5168,29193
2012,1663,878,4927,6623,1587,5569,33451
2013,2258,2342,5510,7161,1872,4625,56176
2014,7218,9232,5719,8065,2838,10259,83215
2015,573,1294,658,1164,213,1180,11873
