Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	0	0	0	0	2	1	1
2001	0	4	1	0	1	2	0
2002	13	8	4	8	8	9	18
2003	33	7	13	19	16	44	7
2004	27	51	45	47	6	35	33
2005	11	22	50	6	11	162	50
2006	150	260	178	30	100	477	398
2007	62	116	286	40	52	1102	509
2008	668	659	3596	177	724	4203	3691
2009	231	749	2001	168	272	2467	1917
2010	722	1101	4955	441	357	2932	6332
2011	1098	1673	3840	458	1121	3513	6334
2012	753	1324	3660	1258	1630	7603	8958
2013	911	3167	7170	1290	2387	6132	10732
2014	1539	3959	12545	1240	2325	7946	19472
2015	268	387	973	101	178	482	2286
