Year  terrorism  terrorist  occupation  narcotic  violation  democracy  development 
2000      0          0          2          0          1          3          1           	
2001      5          10         0          0          0          5          5          
2002      15         14         15         6          14         33         35          
2003      68         78         68         57         7          102        41          
2004      437        192        138        7          32         232        42          
2005      162        294        206        11         26         484        41          
2006      419        722        372        15         225        1157       244         
2007      766        713        544        70         225        1740       235         
2008      872        1332       921        196        599        2476       439         
2009      723        986        1183       152        313        1757       400         
2010      1698       2383       2594       660        998        2716       659         
2011      2801       3807       4873       407        2156       6325       1462        
2012      3713       3832       4943       211        1137       7874       1848        
2013      9326	     10535      5091       511        4898       12073      2532
2014      17650      43343      9277       1561       7516       19130      5400
2015      3232       3946       1112       69         678        1823       508
