Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	0	0	0	0	0	0	1
2001	3	7	0	0	0	0	1
2002	4	7	1	2	2	3	3
2003	14	18	6	0	3	15	17
2004	8	48	14	6	12	33	56
2005	69	7	23	68	10	92	100
2006	41	16	85	44	462	7	6
2007	17	20	95	89	175	11	28
2008	45	54	14	350	629	30	137
2009	74	123	7	319	585	38	76
2010	73	177	38	7	17	49	127
2011	4396	5300	4191	615	6456	22111	10502
2012	1790	3701	1012	220	1128	7032	3061
2013	3070	4730	882	559	1307	6166	2363
2014	3349	6653	1073	187	3664	12882	3109
2015	949	2607	127	13	541	1753	491
