Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	0	0	0	0	0	0	0
2001	7	11	1	0	0	2	2
2002	8	27	17	2	5	9	7
2003	11	16	9	5	17	52	55
2004	21	25	7	12	31	71	78
2005	27	74	26	44	96	11	267
2006	78	326	64	265	25	56	59
2007	50	95	22	242	8	25	58
2008	157	187	34	8	19	64	124
2009	208	276	56	765	60	33	122
2010	308	312	312	38	42	64	325
2011	696	1705	374	45	5445	2010	1504	
2012	5470	19627	1354	465	15151	8701	5837
2013	17940	53657	2836	484	11356	16494	15756
2014	21731	56391	2550	706	9803	15397	8444
2015	3199	6234	230	60	1021	3551	500																						
