Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	1	0	0	0	1	2	3							
2001	1	4	1	0	1	4	6	
2002	21	23	8	6	12	13	33	
2003	35	6	6	27	18	7	98		
2004	6	14	6	7	75	13	19	
2005	7	19	21	19	159	35	47	
2006	39	100	17	32	29	52	166	
2007	99	212	59	97	95	157	384	
2008	129	183	252	350	578	204	7352	
2009	215	186	220	305	135	197	2544	
2010	556	1140	481	901	278	731	5261	
2011	483	1226	655	652	522	971	4719	
2012	1333	3201	595	439	1245	1587	6258	
2013	3063	8232	3094	661	2199	3003	10352	
2014	5796	8763	4832	735	2148	3851	16230		
2015	767	1175	235	58	655	1284	5299				
																																																		
