Year  terrorism  terrorist  occupation  narcotic  violation  democracy  development
2000  0          0          2           0         2          3          10
2001  2          2          0           4         3          1          3
2002  15         8          11          21        17         24         7
2003  27         60         10          14        169        6          39
2004  40         47         46          23        340        517        451
2005  59         34         123         45        44         883        684
2006  95         88         362	        147       160        1083       1677
2007  118        225        1622        316       181        2108       3992
2008  202        303        1415        608       1224       3323       13514
2009  329        459        1778        1133      1193       4785       13812
2010  679        1066       2566        2909      1633       10825      34424
2011  1646       1408       6097        4716      2372       11984      46691
2012  2383       4243       5022        4535      3511       15753      50251
2013  2976       3879       14204       7664	  10054      23776      123885
2014  116309     505658     227420      18139     161874     197759     420917
2015  18125      246126     25232       2668      10217      19861      49609
