year 	 terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	0	0	0	0	0	0	0
2001	1	1	0	0	0	0	0
2002	6	6	1	1	0	1	5
2003	5	7	2	1	2	2	7
2004	14	24	11	7	6	11	35
2005	25	30	23	14	25	15	48
2006	6	27	33	6	76	80	127
2007	726	21	45	124	782	110	8
2008	2236	83	6	12	7	7	29
2009	20	101	6	337	5546	242	35
2010	441	647	37	264	18	15	150
2011	256	652	47	143	607	402	525
2012	278	3294	24	150	132	122	120
2013	631	1584	24	291	107	282	179
2014	903	2326	54	196	511	403	382
2015	409	849	9	9	164	55	100
